Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
2,"Elegant Edgecrafters",KLD,0.18,0,0,0,30/11/2017
1,"Eliminate the Competition",KLD,0.29,0,0,3,13/12/2017
1,"Embraal Gear-Smasher",AER,0.13,0,0,3,2/12/2017
1,"Emmara, Soul of the Accord",GRN,0.0,1,0,0,14/09/2018
1,"Empyreal Voyager",KLD,0.18,0,0,3,2/12/2017
3,"Enigma Drake",AKH,0.18,0,0,0,14/12/2018
2,"Enraged Giant",AER,0.2,0,0,3,2/12/2017
1,"Essence Extraction",KLD,0.22,0,0,0,30/11/2017
1,"Essence Scatter",AKH,0.07,0,0,3,9/3/2018
1,"Essence Scatter",AKH,0.15,0,0,3,2/12/2017
2,"Evolving Wilds",AKH,0.15,0,0,3,2/12/2017
1,"Experimental Aviator",KLD,0.19,0,0,3,4/1/2018
1,"Fabrication Module",KLD,0.22,0,0,3,2/12/2017
1,"Faerie Mechanist",MMA,0.05,0,0,0,24/6/2018
2,"Fan Bearer",AKH,0.13,0,0,3,2/12/2017
2,"Fatal Push",AER,5.0,0,0,0,25/2/2018
1,"Fateful Showdown",KLD,0.3,0,0,3,2/12/2017
2,"Felidar Guardian",AER,0.26,0,0,0,2/12/2017
1,"Fen Hauler",AER,0.13,0,0,0,2/12/2017
1,"Fen Hauler",AER,0.13,0,0,3,25/12/2017
1,"Festering Mummy",AKH,0.15,0,0,3,2/12/2017
3,"Fight with Fire",DOM,0.2,0,0,3,11/12/2018
1,"Filigree Crawler",AER,0.12,0,0,3,25/12/2017
1,"Filigree Crawler",AER,0.13,0,0,3,13/1/2018
1,"Filigree Familiar",KLD,0.25,0,0,0,28/12/2017
1,"Filigree Familiar",KLD,0.25,0,0,3,2/12/2017
1,"Fireforger's Puzzleknot",KLD,0.11,0,0,0,28/12/2017
1,"Fireforger's Puzzleknot",KLD,0.11,0,0,3,2/12/2017
3,"Fling",AKH,0.14,0,0,3,2/12/2017
1,"Floodwaters",AKH,0.13,0,0,3,2/12/2017
1,"Forsaken Sanctuary",AKH,0.29,0,0,3,2/12/2017
1,"Fortuitous Find",KLD,0.11,0,0,0,30/11/2017
1,"Fortuitous Find",KLD,0.11,0,0,3,4/1/2018
2,"Foul Orchard",AKH,0.17,0,0,3,2/12/2017
2,"Foundry Assembler",AER,0.12,0,0,0,2/12/2017
1,"Foundry Assembler",AER,0.12,0,0,3,2/12/2017
4,"Foundry Inspector",KLD,0.41,0,0,3,15/4/2018
1,"Foundry Screecher",KLD,0.11,0,0,3,2/12/2017
1,"Fourth Bridge Prowler",AER,0.13,0,0,0,2/12/2017
1,"Fourth Bridge Prowler",AER,0.13,0,0,3,13/1/2018
1,"Fretwork Colony",KLD,0.19,0,0,0,28/12/2017
1,"Frontline Rebel",AER,0.13,0,0,0,2/12/2017
2,"Frontline Rebel",AER,0.13,0,0,3,13/1/2018
1,"Garruk's Horde",W17,0.34,0,0,3,2/12/2017
1,"Gearseeker Serpent",KLD,0.14,0,0,0,30/11/2017
2,"Gearseeker Serpent",KLD,0.14,0,0,3,13/12/2017
1,"Generous Stray",GRN,0.48,1,0,0,30/9/2018
1,"Ghirapur Guide",KLD,0.19,0,0,3,2/12/2017
1,"Ghirapur Osprey",AER,0.12,0,0,0,2/12/2017
2,"Ghirapur Osprey",AER,0.14,0,0,3,13/1/2018
1,"Ghirapur Osprey",AER,0.26,1,0,3,13/1/2018
1,"Ghoulsteed",UMA,0.03,0,0,0,3/1/2019
2,"Giant Spectacle",KLD,0.11,0,0,3,2/12/2017
1,"Giant Spider",AKH,0.12,0,0,3,2/12/2017
1,"Gifted Aetherborn",AER,2.19,0,0,3,2/12/2017
1,"Glassblower's Puzzleknot",KLD,0.12,0,0,0,30/11/2017
1,"Glassblower's Puzzleknot",KLD,0.13,0,0,3,13/12/2017
1,"Glimmer of Genius",KLD,0.93,0,0,3,2/12/2017
1,"Glint-Sleeve Artisan",KLD,0.12,0,0,3,13/12/2017
2,"Glint-Sleeve Siphoner",AER,3.32,0,0,0,2/12/2017
1,"Gonti's Machinations",AER,0.24,1,0,0,28/4/2018
1,"Graceful Cat",AKH,0.15,0,0,3,2/12/2017
1,"Greater Sandwurm",AKH,0.12,0,0,3,2/12/2017
1,"Gremlin Infestation",AER,0.2,0,0,0,2/12/2017
3,"Guttersnipe",IMA,0.15,0,0,0,14/12/2018
1,"Harnessed Lightning",KLD,1.19,0,0,3,2/12/2017
1,"Hazardous Conditions",KLD,0.19,0,0,0,28/12/2017
1,"Helm of the Host",DOM,0.86,0,0,3,24/6/2018
1,"Herald of the Fair",KLD,0.1,0,0,3,2/12/2017
1,"Heroic Intervention",AER,4.05,0,0,0,2/12/2017
2,"Highland Lake",AKH,0.3,0,0,3,2/12/2017
2,"Highspire Artisan",KLD,0.11,0,0,3,4/1/2018
1,"Highspire Infusion",AER,0.14,0,0,0,2/12/2017
2,"Highspire Infusion",AER,0.14,0,0,3,25/12/2017
1,"Hijack",KLD,0.12,0,0,0,28/12/2017
1,"Hijack",KLD,0.12,0,0,3,2/12/2017
1,"Hijack",KLD,0.13,0,0,3,4/1/2018
1,"Hinterland Drake",AER,0.12,0,0,0,2/12/2017
2,"Hinterland Drake",AER,0.12,0,0,3,2/12/2017
1,"Hungry Flames",AER,0.24,0,0,0,2/12/2017
1,"Hungry Flames",AER,0.24,0,0,3,2/12/2017
1,"Hunt the Weak",KLD,0.11,0,0,0,30/11/2017
2,"Ice Over",AER,0.12,0,0,0,2/12/2017
1,"Illusionist's Stratagem",AER,0.2,0,0,0,2/12/2017
1,"Impeccable Timing",KLD,0.13,0,0,0,28/12/2017
3,"Implement of Combustion",AER,0.14,0,0,0,2/12/2017
2,"Implement of Combustion",AER,0.14,0,0,3,2/12/2017
2,"Implement of Examination",AER,0.13,0,0,0,2/12/2017
1,"Implement of Examination",AER,0.13,0,0,3,25/12/2017
1,"Implement of Ferocity",AER,0.13,0,0,0,2/12/2017
1,"Implement of Ferocity",AER,0.13,0,0,3,25/12/2017
1,"Implement of Improvement",AER,0.14,0,0,0,2/12/2017
1,"Implement of Improvement",AER,0.14,0,0,3,13/1/2018
1,"Implement of Malice",AER,0.13,0,0,0,2/12/2017
2,"Inescapable Blaze",GRN,0.02,0,0,3,11/12/2018
2,"Initiate's Companion",AKH,0.15,0,0,3,2/12/2017
1,"Inspired Charge",KLD,0.11,0,0,0,30/11/2017
2,"Inspired Charge",KLD,0.11,0,0,3,2/12/2017
1,"Inspired Charge",KLD,0.12,0,0,3,4/1/2018
1,"Inspiring Statuary",AER,0.56,0,0,3,15/4/2018
1,"Inspiring Vantage",KLD,3.41,0,0,0,24/4/2018
2,"Inventor's Apprentice",KLD,0.24,0,0,0,28/12/2017
1,"Inventor's Apprentice",KLD,0.24,0,0,3,2/12/2017
1,"Inventor's Goggles",KLD,0.13,0,0,0,30/11/2017
1,"Inventor's Goggles",KLD,0.13,0,0,3,2/12/2017
1,"Inventors' Fair",KLD,0.75,0,0,3,15/2/2018
1,"Inventors' Fair",KLD,0.99,0,0,3,13/12/2017
2,"Inventors' Fair",KLD,1.16,0,0,3,15/4/2018
1,"Invigorated Rampage",AER,0.25,0,0,3,13/1/2018
4,"Ionize",GRN,1.34,0,0,0,14/12/2018
1,"Iron League Steed",KLD,0.17,0,0,3,13/12/2017
1,"Ironclad Revolutionary",AER,0.2,0,0,0,2/12/2017
1,"Irontread Crusher",AER,0.12,0,0,0,2/12/2017
2,"Irontread Crusher",AER,0.12,0,0,3,2/12/2017
1,"Janjeet Sentry",KLD,0.19,0,0,0,30/11/2017
1,"Janjeet Sentry",KLD,0.19,0,0,3,13/12/2017
1,"Jaya's Immolating Inferno",DOM,0.15,0,0,0,31/12/2018
1,"Kambal, Consul of Allocation",KLD,0.46,0,0,0,28/12/2017
1,"Kambal, Consul of Allocation",KLD,0.46,0,0,3,2/12/2017
1,"Kari Zev's Expertise",AER,0.41,0,0,0,24/4/2018
1,"Kefnet the Mindful",AKH,1.82,0,0,3,2/12/2017
1,"Kujar Seedsculptor",KLD,0.11,0,0,0,30/11/2017
1,"Kujar Seedsculptor",KLD,0.12,0,0,3,13/12/2017
1,"Larger Than Life",KLD,0.15,0,0,0,30/11/2017
1,"Larger Than Life",KLD,0.16,0,0,3,2/12/2017
1,"Lava Axe",M19,0.0,0,0,0,7/7/2018
1,"Lawless Broker",KLD,0.1,0,0,0,30/11/2017
4,"League Guildmage",GRN,0.1,0,0,3,11/12/2018
2,"Leave in the Dust",AER,0.12,0,0,0,2/12/2017
1,"Leave in the Dust",AER,0.12,0,0,3,2/12/2017
1,"Leave in the Dust",AER,0.13,0,0,3,25/12/2017
1,"Lifecraft Awakening",AER,0.2,0,0,0,2/12/2017
2,"Lifecraft Cavalry",AER,0.11,0,0,0,2/12/2017
1,"Lifecrafter's Gift",AER,0.2,0,0,3,25/12/2017
1,"Lightning Runner",AER,0.37,0,0,0,24/4/2018
1,"Live Fast",KLD,0.12,0,0,3,4/1/2018
2,"Live Fast",KLD,0.13,0,0,3,2/12/2017
1,"Long-Finned Skywhale",KLD,0.19,0,0,3,4/1/2018
1,"Make Obsolete",KLD,0.19,0,0,0,30/11/2017
1,"Make Obsolete",KLD,0.18,0,0,3,2/12/2017
1,"Make Obsolete",KLD,0.19,0,0,3,4/1/2018
1,"Make Obsolete",KLD,0.37,1,0,3,2/12/2017
1,"Malfunction",KLD,0.11,0,0,0,30/11/2017
3,"Malfunction",KLD,0.11,0,0,3,2/12/2017
1,"Manticore of the Gauntlet",AKH,0.13,0,0,3,2/12/2017
2,"Maulfist Revolutionary",AER,0.21,0,0,0,2/12/2017
1,"Maverick Thopterist",C18,0.04,0,0,0,2/9/2018
1,"Maverick Thopterist",AER,0.2,0,0,3,25/12/2017
2,"Meandering River",AKH,0.24,0,0,3,2/12/2017
1,"Mechanized Production",AER,1.0,0,0,0,25/2/2018
1,"Mechanized Production",AER,2.51,0,0,0,9/4/2018
1,"Mechanized Production",AER,1.75,0,0,3,15/2/2018
1,"Mechanized Production",AER,3.63,0,0,3,25/12/2017
1,"Mechanized Production",AER,2.8,1,0,0,15/2/2018
1,"Merchant's Dockhand",AER,0.28,0,0,0,2/12/2017
1,"Merciless Javelineer",AKH,0.2,0,0,3,2/12/2017
2,"Metallic Mimic",AER,4.33,0,0,0,22/8/2018
1,"Metallic Rebuke",AER,0.04,0,0,3,15/2/2018
1,"Metallic Rebuke",AER,0.16,0,0,3,25/12/2017
1,"Metallic Rebuke",AER,0.17,0,0,3,13/1/2018
1,"Metallic Rebuke",AER,0.75,1,0,0,20/2/2018
1,"Metalspinner's Puzzleknot",KLD,0.13,0,0,3,2/12/2017
4,"Metalwork Colossus",KLD,1.0,0,0,0,25/2/2018
1,"Mighty Leap",AKH,0.13,0,0,3,2/12/2017
2,"Mind Rot",KLD,0.1,0,0,0,30/11/2017
1,"Mind Rot",KLD,0.11,0,0,0,28/12/2017
1,"Minister of Inquiries",KLD,0.24,0,0,0,28/12/2017
1,"Mizzium Meddler",PLPA,0.0,1,0,3,4/1/2018
2,"Mobile Garrison",AER,0.14,0,0,0,2/12/2017
1,"Mobile Garrison",AER,0.14,0,0,3,2/12/2017
2,"Monstrous Onslaught",AER,0.2,0,0,3,13/1/2018
1,"Morbid Curiosity",KLD,0.2,0,0,0,30/11/2017
1,"Multiform Wonder",KLD,0.3,0,0,0,30/11/2017
2,"Murmuring Mystic",GRN,0.12,0,0,3,11/12/2018
1,"Mutiny",RIX,0.03,0,0,0,25/3/2018
1,"Narnam Cobra",KLD,0.11,0,0,3,2/12/2017
1,"Narnam Cobra",KLD,0.12,0,0,3,13/12/2017
1,"Naru Meha, Master Wizard",DOM,1.17,0,0,0,3/8/2018
1,"Nef-Crop Entangler",AKH,0.14,0,0,3,2/12/2017
2,"Negate",AER,0.15,0,0,0,2/12/2017
1,"Negate",AER,0.15,0,0,3,2/12/2017
1,"Night Market Aeronaut",AER,0.13,0,0,0,2/12/2017
1,"Night Market Aeronaut",AER,0.13,0,0,3,2/12/2017
1,"Night Market Guard",AER,0.12,0,0,3,2/12/2017
1,"Night Market Lookout",KLD,0.14,0,0,3,2/12/2017
1,"Nightmare",W17,0.25,0,0,3,2/12/2017
1,"Nimble Innovator",KLD,0.11,0,0,3,2/12/2017
1,"Nimble-Blade Khenra",AKH,0.13,0,0,3,2/12/2017
1,"Ninth Bridge Patrol",KLD,0.11,0,0,0,30/11/2017
1,"Ninth Bridge Patrol",KLD,0.12,0,0,3,13/12/2017
1,"Oakenform",W17,0.32,0,0,3,2/12/2017
1,"Oath of Ajani",AER,0.45,0,0,3,25/12/2017
1,"Ornamental Courage",KLD,0.12,0,0,3,4/1/2018
1,"Ornery Kudu",AKH,0.13,0,0,3,2/12/2017
3,"Ornithopter",AER,0.1,0,0,3,15/2/2018
1,"Ornithopter",AER,0.22,0,0,3,13/1/2018
1,"Outland Boar",AER,0.2,0,0,3,25/12/2017
1,"Oviya Pashiri, Sage Lifecrafter",KLD,0.3,0,0,0,30/11/2017
1,"Pacification Array",AER,0.2,0,0,0,2/12/2017
4,"Padeem, Consul of Innovation",KLD,0.5,0,0,0,25/2/2018
1,"Painful Lesson",AKH,0.14,0,0,3,2/12/2017
1,"Panharmonicon",KLD,1.91,0,0,3,15/4/2018
1,"Paradoxical Outcome",KLD,0.45,0,0,3,4/1/2018
1,"Peema Aether-Seer",AER,0.2,0,0,3,25/12/2017
1,"Peema Outrider",KLD,0.1,0,0,3,2/12/2017
1,"Perpetual Timepiece",KLD,0.2,0,0,3,4/1/2018
1,"Pia Nalaar",KLD,0.4,0,0,0,30/11/2017
1,"Pia's Revolution",AER,0.18,0,0,0,24/4/2018
2,"Piston-Fist Cyclops",GRN,0.05,0,0,0,14/12/2018
1,"Planar Bridge",AER,2.25,0,0,3,13/1/2018
1,"Pouncing Cheetah",AKH,0.14,0,0,3,2/12/2017
1,"Prakhata Club Security",KLD,0.11,0,0,3,2/12/2017
1,"Prakhata Pillar-Bug",KLD,0.11,0,0,0,28/12/2017
1,"Precise Strike",AER,0.12,0,0,0,2/12/2017
1,"Pressure Point",KLD,0.11,0,0,0,30/11/2017
2,"Prey Upon",AER,0.13,0,0,0,2/12/2017
1,"Prey Upon",AER,0.13,0,0,3,13/1/2018
3,"Primal Amulet",XLN,2.0,0,0,0,11/12/2018
1,"Primal Amulet",XLN,1.18,0,0,3,31/3/2018
2,"Prizefighter Construct",AER,0.13,0,0,0,2/12/2017
1,"Prizefighter Construct",AER,0.13,0,0,3,25/12/2017
1,"Propeller Pioneer",KLD,0.12,0,0,3,4/1/2018
2,"Prophetic Prism",KLD,0.14,0,0,0,30/11/2017
1,"Prophetic Prism",KLD,0.14,0,0,3,2/12/2017
1,"Prophetic Prism",KLD,0.15,0,0,3,13/12/2017
1,"Protection of the Hekma",AKH,0.2,0,0,3,2/12/2017
1,"Pursue Glory",AKH,0.12,0,0,3,2/12/2017
1,"Pyramid of the Pantheon",AKH,0.4,0,0,3,2/12/2017
1,"Quicksmith Genius",KLD,0.2,0,0,3,2/12/2017
1,"Quicksmith Rebel",AER,0.27,0,0,3,13/1/2018
1,"Raise Dead",W17,0.39,0,0,3,2/12/2017
1,"Rally the Peasants",UMA,0.06,0,0,0,3/1/2019
1,"Rashmi, Eternities Crafter",KLD,0.98,0,0,3,4/1/2018
3,"Rashmi, Eternities Crafter",KLD,1.5,0,0,3,15/2/2018
1,"Ravenous Intruder",AER,0.21,0,0,0,2/12/2017
1,"Ravenous Intruder",AER,0.22,0,0,3,25/12/2017
1,"Reckless Fireweaver",KLD,0.14,0,0,0,30/11/2017
1,"Reckless Fireweaver",KLD,0.15,0,0,3,4/1/2018
1,"Reckless Racer",AER,0.2,0,0,0,2/12/2017
1,"Refurbish",KLD,0.25,0,0,0,30/11/2017
1,"Refurbish",KLD,0.07,0,0,3,15/2/2018
2,"Refurbish",KLD,0.25,0,0,3,2/12/2017
2,"Refurbish",KLD,0.23,1,0,0,19/2/2018
1,"Renegade Freighter",KLD,0.14,0,0,0,28/12/2017
2,"Renegade Freighter",KLD,0.13,0,0,3,2/12/2017
1,"Renegade Freighter",KLD,0.14,0,0,3,13/12/2017
1,"Renegade Map",AER,0.15,0,0,0,2/12/2017
2,"Renegade Map",AER,0.15,0,0,3,2/12/2017
1,"Renegade Rallier",AER,0.3,0,0,0,2/12/2017
2,"Renegade's Getaway",AER,0.13,0,0,0,2/12/2017
1,"Reservoir Walker",AER,0.12,0,0,0,2/12/2017
1,"Reservoir Walker",AER,0.12,0,0,3,2/12/2017
2,"Resourceful Return",AER,0.13,0,0,0,2/12/2017
2,"Resourceful Return",AER,0.13,0,0,3,2/12/2017
1,"Restoration Specialist",AER,0.19,0,0,0,2/12/2017
1,"Restoration Specialist",AER,0.2,0,0,3,13/1/2018
1,"Reverse Engineer",AER,0.24,0,0,0,2/12/2017
1,"Revoke Privileges",KLD,0.11,0,0,0,30/11/2017
1,"Revoke Privileges",KLD,0.11,0,0,3,2/12/2017
2,"Revolutionary Rebuff",KLD,0.13,0,0,0,30/11/2017
2,"Revolutionary Rebuff",KLD,0.14,0,0,3,2/12/2017
1,"Ridgescale Tusker",AER,0.2,0,0,3,2/12/2017
1,"Riparian Tiger",KLD,0.11,0,0,0,30/11/2017
